YearMonth,Mode,Value,% of 2019
2020-01,Subway,138400000,1.028996283
2020-02,Subway,130800000,1.034810127
2020-03,Subway,73825807,0.513749527
2020-04,Subway,11750151,0.081035524
2020-05,Subway,15299308,0.101454297
2020-06,Subway,23969478,0.169515403
2020-07,Subway,32571261,0.233820969
2020-08,Subway,35265638,0.25722566
2020-09,Subway,42867559,0.299145562
2020-10,Subway,48033239,0.309492519
2020-11,Subway,43696314,0.31056371
2020-12,Subway,43539931,0.310334505
2021-01,Subway,41172760,0.306117175
2021-02,Subway,39210245,0.310207634
2021-03,Subway,50830142,0.353724022
2021-04,Subway,53349073,0.367924641
2021-05,Subway,58527136,0.388110981
2021-06,Subway,65548953,0.463571096
2021-07,Subway,67050688,0.481340187
2021-08,Subway,66518837,0.485184807
2021-09,Subway,73925553,0.515879644
2021-10,Subway,83606247,0.538700045
2021-11,Subway,82509146,0.586418948
2021-12,Subway,78893289,0.562318525
2020-01,Commuter Rail,14129049,1.007274825
2020-02,Commuter Rail,12959592,1.016885659
2020-03,Commuter Rail,6095057,0.417094923
2020-04,Commuter Rail,577100,0.03806416
2020-05,Commuter Rail,1026800,0.065980285
2020-06,Commuter Rail,2152400,0.142487212
2020-07,Commuter Rail,3139700,0.20202821
2020-08,Commuter Rail,3267000,0.214677205
2020-09,Commuter Rail,4010600,0.27275217
2020-10,Commuter Rail,4213000,0.268359264
2020-11,Commuter Rail,3652500,0.257210268
2020-12,Commuter Rail,3408700,0.229213209
2021-01,Commuter Rail,3064700,0.2184857
2021-02,Commuter Rail,2712000,0.212799439
2021-03,Commuter Rail,3836500,0.262538098
2021-04,Commuter Rail,4211400,0.277774048
2021-05,Commuter Rail,5056700,0.324934267
2021-06,Commuter Rail,5706600,0.377772498
2021-07,Commuter Rail,6025000,0.38768671
2021-08,Commuter Rail,5877400,0.386208695
2021-09,Commuter Rail,6490800,0.441425169
2021-10,Commuter Rail,7240700,0.461217405
2021-11,Commuter Rail,7410700,0.521863964
2021-12,Commuter Rail,6766000,0.454970098
2020-01,Bus,54600000,1.007380074
2020-02,Bus,52400000,1.0234375
2020-03,Bus,36894400,0.628524702
2020-04,Bus,13033900,0.227071429
2020-05,Bus,17800800,0.293742574
2020-06,Bus,25988900,0.469113718
2020-07,Bus,32848300,0.592929603
2020-08,Bus,34796800,0.650407477
2020-09,Bus,27952400,0.478636986
2020-10,Bus,30054115,0.490279201
2020-11,Bus,26914713,0.492042285
2020-12,Bus,26070976,0.460398326
2021-01,Bus,25035873,0.461916476
2021-02,Bus,22875301,0.446783223
2021-03,Bus,29700545,0.505971806
2021-04,Bus,30573447,0.532638449
2021-05,Bus,31797784,0.524715908
2021-06,Bus,32745118,0.591067112
2021-07,Bus,32814466,0.592318881
2021-08,Bus,32707261,0.611350673
2021-09,Bus,35736273,0.611922483
2021-10,Bus,38137454,0.622144437
2021-11,Bus,35751726,0.653596453
2021-12,Bus,33762618,0.596228266
2020-01,Ferry,2766439,0.972184679
2020-02,Ferry,2524580,0.957763385
2020-03,Ferry,1476269,0.46393077
2020-04,Ferry,231671,0.063306009
2020-05,Ferry,406182,0.104624467
2020-06,Ferry,688100,0.167639386
2020-07,Ferry,1057981,0.269982992
2020-08,Ferry,1264094,0.323808338
2020-09,Ferry,1293246,0.369313567
2020-10,Ferry,1242240,0.360005599
2020-11,Ferry,920790,0.332252515
2020-12,Ferry,809523,0.278627807
2021-01,Ferry,771066,0.270968762
2021-02,Ferry,657070,0.249276152
2021-03,Ferry,1001010,0.314576368
2021-04,Ferry,1063013,0.29047706
2021-05,Ferry,1452332,0.374092062
2021-06,Ferry,1844031,0.449254795
2021-07,Ferry,1973516,0.503615617
2021-08,Ferry,1942315,0.497540367
2021-09,Ferry,1992183,0.568909713
2021-10,Ferry,1941333,0.562605253
2021-11,Ferry,1707984,0.616299025
2021-12,Ferry,1626042,0.55966355
2020-01,Taxi,6821550,0.822180375
2020-02,Taxi,6697811,0.882245139
2020-03,Taxi,3230138,0.383148497
2020-04,Taxi,273420,0.03441557
2020-05,Taxi,405697,0.050283365
2020-06,Taxi,612840,0.082696083
2020-07,Taxi,872526,0.130057483
2020-08,Taxi,1088255,0.169047115
2020-09,Taxi,1427340,0.206204601
2020-10,Taxi,1775928,0.235132839
2020-11,Taxi,1597140,0.222082245
2020-12,Taxi,1544606,0.214412352
