MN,TT,PWGTP,TOTAL,% TT
Manhattan Bound,0,65890,1898669,0.03470325791383332
Manhattan Bound,30 to 59 Mins,867225,1898669,0.45675417884844594
Manhattan Bound,60 to 89 Mins,408563,1898669,0.21518389987933653
Manhattan Bound,90 Mins or More,131843,1898669,0.06943969696666455
Manhattan Bound,Less than 30 Mins,425148,1898669,0.22391896639171968
Non-Manhattan Bound,0,110904,2054715,0.05397536884677437
Non-Manhattan Bound,30 to 59 Mins,781943,2054715,0.3805603210177567
Non-Manhattan Bound,60 to 89 Mins,328101,2054715,0.15968199969338814
Non-Manhattan Bound,90 Mins or More,153830,2054715,0.07486683067968064
Non-Manhattan Bound,Less than 30 Mins,679937,2054715,0.33091547976240016
