Year,Bronx,Brooklyn,Manhattan,Queens,Staten_Island,Total,Citywide_Average
2/1/2021,284926,282802,284889,282764,21455,1156836,231367.2
8/1/2020,281086,271568,281840,281625,84479,1200598,240119.6
2/1/2020,289001,288048,288618,287202,70909,1223778,244755.6
8/1/2019,288794,286607,288727,286658,244626,1395412,279082.4
2/1/2019,298827,288674,299013,298560,161662,1346736,269347.2
8/1/2018,292437,260055,293632,258430,233413,1337967,267593.4
2/1/2018,288053,288758,289194,285701,226900,1378606,275721.2
8/1/2017,286728,283973,290073,288184,202948,1351906,270381.2
2/1/2017,298963,298139,304810,304022,257617,1463551,292710.2
8/1/2016,296730,292120,292900,293346,218840,1393936,278787.2
2/1/2016,293559,285881,294405,290620,202035,1366500,273300
8/1/2015,279545,279553,290290,276062,267064,1392514,278502.8
2/1/2015,266114,200051,323972,293602,164521,1248260,249652
8/1/2014,312448,321252,328090,322046,142836,1426672,285334.4
2/1/2014,312915,305659,313208,311907,139825,1383514,276702.8
8/1/2013,300928,297247,299467,295778,206570,1399990,279998
2/1/2013,295644,296151,296510,295948,101242,1285495,257099
8/1/2012,316415,313597,319471,317535,117928,1384946,276989.2
2/1/2012,287664,286102,288750,288539,159463,1310518,262103.6
8/1/2011,283900,282743,284850,280151,173242,1304886,260977.2
2/1/2011,292670,292306,292265,289512,321636,1488389,297677.8
8/1/2010,303654,295048,305909,295496,176770,1376877,275375.4
2/1/2010,296097,290289,296254,288803,204310,1375753,275150.6
8/1/2009,276665,275447,279254,273598,200934,1305898,261179.6
2/1/2009,296946,293681,298051,294273,252518,1435469,287093.8
8/1/2008,286104,277665,290535,290291,235263,1379858,275971.6
2/1/2008,279308,278669,279832,279658,229284,1346751,269350.2
8/1/2007,271760,273729,274796,273077,268748,1362110,272422
2/1/2007,295369,315694,316917,315135,226604,1469719,293943.8
8/1/2006,299458,307073,307832,304712,178804,1397879,279575.8
2/1/2006,298394,295421,299758,297269,231783,1422625,284525
8/1/2005,282700,272746,283207,277642,89823,1206118,241223.6
11/1/2001,328813,322442,328203,314480,124423,1418361,283672.2
4/1/2004,325424,326185,325414,325437,224031,1526491,305298.2
10/1/2003,312728,309831,313928,312674,148463,1397624,279524.8
11/1/2001,297962,296658,298701,296903,123096,1313320,262664
8/1/1998,304332,310161,307567,309598,238913,1470571,294114.2
